push,title,href,date,author
2,[公告] 投票教學 請大家踴躍投票,/bbs/movie/M.1585986449.A.374.html, 4/04,kai3368
X1,Re: [討論] 為什麼霸王別姬沒拿下奧斯卡最佳外語?,/bbs/movie/M.1585987968.A.5A1.html, 4/04,tontontonni
2,[討論] 第四台的復4終局之戰(有雷),/bbs/movie/M.1585988665.A.D1A.html, 4/04,iamhentai
47,[請益] x戰警 未來昔日片段,/bbs/movie/M.1585994919.A.686.html, 4/04,tommy1717
8,[好雷] 七武士,/bbs/movie/M.1585998510.A.A8F.html, 4/04,modem
爆,[Live] 名偵探皮卡丘    21:00  HBO,/bbs/movie/M.1585999046.A.D26.html, 4/04,TheBatman
3,[Live] 公視3台 22:00 衝突的一天 (Clash) ,/bbs/movie/M.1586000180.A.046.html, 4/04,ckny
14,[討論] 不可能任務4中一個可能很蠢的問題,/bbs/movie/M.1586001269.A.BF6.html, 4/04,DoncicInPTT
9,[好雷] 燦爛時光The Best of Youth,/bbs/movie/M.1586001958.A.976.html, 4/04,ueiwei
25,Re: [討論] 復仇者4 美國隊長的一個問題,/bbs/movie/M.1586004720.A.205.html, 4/04,bulank
3,[問片] 以前一部歐美電影 科幻 超能力,/bbs/movie/M.1586005949.A.CBF.html, 4/04,PeterCow
,[情報] iTunes Store特價報 法櫃奇兵 / 夢工廠,/bbs/movie/M.1585918025.A.5A9.html, 4/03,khpr1007
22,[討論] 2020 多檔日本動畫電影延期訊息,/bbs/movie/M.1585918364.A.810.html, 4/03,maxw1102
10,Re: [討論] 復仇者4的bug,/bbs/movie/M.1585920623.A.239.html, 4/03,poggssi
,[Live] 好萊塢電影 21:30 浴血戰役：恰納卡萊,/bbs/movie/M.1585920896.A.486.html, 4/03,ckny
,[好雷] 親情難捨 The Squid and the Whale,/bbs/movie/M.1585921165.A.575.html, 4/03,lateao
,[請益] 1917是不是花了兩天拍完的? (有雷),/bbs/movie/M.1585922639.A.5A0.html, 4/03,TaipeiKindom
8,[好雷] 燃爆《我英劇場版：英雄新世紀》 ,/bbs/movie/M.1585923820.A.C35.html, 4/03,tj920614
X5,[負雷] 血觀音-讓九把刀成為經典的雷作,/bbs/movie/M.1585924432.A.C0A.html, 4/03,neiltsang
5,[討論] 與神同行 最後審判,/bbs/movie/M.1585928081.A.04D.html, 4/03,b642897
6,[新聞] 黑寡婦延期仍持續宣傳 史嘉莉讚概念超神,/bbs/movie/M.1585928820.A.29E.html, 4/03,hvariables
6,[問片] 一部十年前左右的日本電影,/bbs/movie/M.1585929149.A.EA4.html, 4/03,craig5566
14,[好雷] 陽光普照的菜頭:除了你，我一無所有。 ,/bbs/movie/M.1585929187.A.A38.html, 4/03,peter790928
4,[新聞] 《永恆族》順利後製中 《天能》按兵不動,/bbs/movie/M.1585929687.A.A56.html, 4/04,CYKONGG
,[好雷]《犬鳴村》都市傳說迷人的神祕色彩,/bbs/movie/M.1585931738.A.D28.html, 4/04,benbenson12
9,[請益] 五路追殺令 結局?,/bbs/movie/M.1585934396.A.F8D.html, 4/04,pppooqqq
,Re: [請益] 馬丁伊登 最初的晚餐 評價詢問,/bbs/movie/M.1585935432.A.0DB.html, 4/04,catcher
15,[選片] 犬鳴村　間諜速成班,/bbs/movie/M.1585935824.A.941.html, 4/04,generalfungi
12,"[討論] 下女vs東方不敗,為什麼女女舌吻這麼美？",/bbs/movie/M.1585937748.A.AB8.html, 4/04,HIAWIE
24,"[討論] 幾個關於電影""終極戰士""的小知識",/bbs/movie/M.1585940990.A.A41.html, 4/04,a435007
45,[情報] 迪士尼公布MCU第四階段及部分電影新檔期,/bbs/movie/M.1585941352.A.107.html, 4/04,lgng66133
2,[負雷] 5.5分的隱形人,/bbs/movie/M.1585881762.A.137.html, 4/03,ChoHaiHai
,[請益] 蘇聯電影「母狗之子」,/bbs/movie/M.1585882617.A.60D.html, 4/03,JiangDong
5,[請益] 鋼鐵人選擇0407的原因,/bbs/movie/M.1585883494.A.98E.html, 4/03,Eddy8146
40,[討論] 【中山忍】為什麼不紅?,/bbs/movie/M.1585887116.A.494.html, 4/03,psooolder
7,[問片] 銀行都是內奸，大家都搶同一間銀行,/bbs/movie/M.1585887906.A.B34.html, 4/03,f22313467
16,Re: [討論] 復仇者4 美國隊長的一個問題,/bbs/movie/M.1585889525.A.CA0.html, 4/03,tonyd
10,[新聞] 昆汀談漫威 曾想找費許朋拍《盧克凱奇》,/bbs/movie/M.1585891503.A.090.html, 4/03,CYKONGG
66,[討論] 屍速列車2 感染半島新預告,/bbs/movie/M.1585895837.A.27D.html, 4/03,panzer1224
1,[好雷] 午後七點零七分（1967）,/bbs/movie/M.1585896254.A.1F7.html, 4/03,korn31910
3,Re: [討論] 復仇者4 美國隊長的一個問題,/bbs/movie/M.1585898347.A.9FC.html, 4/03,Strasburg
1,[評論] 聞天祥談 / 異形奇花 與 恐怖小店,/bbs/movie/M.1585900296.A.710.html, 4/03,MyAll
X1,Re: [討論] 復仇者4 美國隊長的一個問題,/bbs/movie/M.1585900387.A.014.html, 4/03,deitly
5,Re: [討論] 復仇者4 美國隊長的一個問題,/bbs/movie/M.1585901478.A.858.html, 4/03,nicolaschen2
11,Re: [討論] 【中山忍】為什麼不紅?,/bbs/movie/M.1585902558.A.215.html, 4/03,Konjac2016
爆,[問題] 有跳舞片段的電影 ,/bbs/movie/M.1585903669.A.B7B.html, 4/03,mashmabo
1,Re: [好雷] 惡獵遊戲/獵逃生死戰The Hunt：車頭燈,/bbs/movie/M.1585903881.A.B01.html, 4/03,SuperSg
5,[好雷] 大獨裁者（1940）,/bbs/movie/M.1585905146.A.8FE.html, 4/03,korn31910
4,[問片] 搶劫 冤獄得片子 驚天換日,/bbs/movie/M.1585907480.A.E5D.html, 4/03,egg100152002
4,[新聞] 網絡電影《大魚》正式上線 武打硬漢形象,/bbs/movie/M.1585915477.A.D03.html, 4/03,hoanbeh
13,[情報] 銀魂導演《新解釋·三國志》放出首支花絮,/bbs/movie/M.1585916419.A.1B7.html, 4/03,hoanbeh
36,[負雷] 黑豹 你就是個輸不起的屁孩 （有雷）,/bbs/movie/M.1585842616.A.70A.html, 4/02,xinyi101
13,[討論] 復仇者聯盟4,/bbs/movie/M.1585843069.A.32A.html, 4/02,zapzone
,[好雷] 惡獵遊戲,/bbs/movie/M.1585843925.A.00C.html, 4/03,nwc732
,[好雷] 幽靈人種 - 針的生猛,/bbs/movie/M.1585844077.A.991.html, 4/03,LittleDiDi
19,[討論] 復仇者4的bug,/bbs/movie/M.1585845448.A.378.html, 4/03,nicolaschen2
29,[好雷] 槍火-緊湊明快的好作品,/bbs/movie/M.1585845710.A.8EE.html, 4/03,defenser
8,[情報] 《噤界2》《捍衛戰士2》新檔期,/bbs/movie/M.1585846491.A.395.html, 4/03,lgng66133
4,Re: [討論] 復仇者4的bug,/bbs/movie/M.1585847080.A.67E.html, 4/03,ani06071013
14,[好雷] 我的英雄學院：英雄新世紀,/bbs/movie/M.1585849588.A.850.html, 4/03,rsps1008
20,[討論] 復仇者4 美國隊長的一個問題,/bbs/movie/M.1585849780.A.55B.html, 4/03,DoncicInPTT
10,[討論] 請問一下雷神飛的比較快還是鋼鐵人飛的快,/bbs/movie/M.1585853384.A.4E3.html, 4/03,NuCat
14,[好雷] 推薦血腥冰淇淋三部曲 ,/bbs/movie/M.1585854814.A.32D.html, 4/03,mikamos
10,Re: [討論] 復仇者4的bug,/bbs/movie/M.1585856015.A.101.html, 4/03,tim200513
24,[問片] 美國搶銀行電影,/bbs/movie/M.1585861411.A.A55.html, 4/03,corn638
3,[請益] 請教一句復仇者聯盟3的台詞,/bbs/movie/M.1585871251.A.846.html, 4/03,kile612
,[討論] 羊男的迷宮 也重新上映？,/bbs/movie/M.1585871369.A.B4F.html, 4/03,lpbrother
6,[討論] 寒戰的李文彬 長的也太像老白..,/bbs/movie/M.1585873202.A.95C.html, 4/03,PANG920
5,Re: [討論] 無間道2算是致敬教父還是抄襲教父,/bbs/movie/M.1585877149.A.877.html, 4/03,wjmd92
6,[新聞] 《小美人魚》錄完新曲《曼哈頓奇緣》續集,/bbs/movie/M.1585877918.A.636.html, 4/03,CYKONGG
4,Re: [討論] 復仇者4 美國隊長的一個問題,/bbs/movie/M.1585881009.A.98D.html, 4/03,ivorysoap
7,[討論] 捍衛任務的教育意義,/bbs/movie/M.1585819815.A.11D.html, 4/02,Amy880211
2,[情報] 湯浅政明請辭動畫公司「Science SARU」社長一職,/bbs/movie/M.1585820025.A.EF6.html, 4/02,qpr322
,[討論] 捍衛戰士續集今年是不是看不到了？？,/bbs/movie/M.1585820174.A.900.html, 4/02,NuCat
3,[問片] 一部大概二三十年前的玩具戰爭片,/bbs/movie/M.1585821739.A.286.html, 4/02,cityroy
2,[好雷] 2019法國「悲慘世界」,/bbs/movie/M.1585824281.A.210.html, 4/02,godgod777
24,[新聞] 全美1週票房「2億跌到剩5000」好萊塢崩盤,/bbs/movie/M.1585825269.A.029.html, 4/02,CYKONGG
4,[負雷] 小魔花 令人不解的坎城影后,/bbs/movie/M.1585829170.A.5EF.html, 4/02,joey0602
爆,[討論] 經典到不敢看第二次的電影,/bbs/movie/M.1585830264.A.CE2.html, 4/02,TCPai
1,[討論] 武漢肺炎影響電影類型發展？,/bbs/movie/M.1585831328.A.581.html, 4/02,tcypost
69,[討論] 翁仁賢與DC的Joker有哪些共同點？,/bbs/movie/M.1585832658.A.6B4.html, 4/02,purue
5,[討論] 魏斯安德森的社交距離,/bbs/movie/M.1585833661.A.1FB.html, 4/02,dandeliontea
2,[新聞] 新冠肺炎拖累小小兵2確定延後一年暑假登場,/bbs/movie/M.1585836635.A.111.html, 4/02,hvariables
6,[請益] MOD沒有播無限之戰呀,/bbs/movie/M.1585837332.A.4C2.html, 4/02,rulDD
,[心得] 侯麥《女收藏家》—精巧的美醜論,/bbs/movie/M.1585839788.A.A19.html, 4/02,bitemebitch
7,[問片] 神一部鳥會攻擊人類的電影,/bbs/movie/M.1585840192.A.1FC.html, 4/02,Justapig
2,[好雷] 《犬鳴村》傳說背後藏著的真相,/bbs/movie/M.1585840371.A.5C5.html, 4/02,bestbamboo
98,[請益] 有沒有不雷的國片？,/bbs/movie/M.1585840548.A.37A.html, 4/02,neiltsang
33,[討論] 哈利波特混血王子的背叛,/bbs/movie/M.1585840905.A.ED2.html, 4/02,pccu80825
9,[討論] 屍速列車  孔劉最後的行為,/bbs/movie/M.1585841012.A.FAE.html, 4/02,lycs0908
2,[問片] 港片鐵柵欄兩側有殭屍的片,/bbs/movie/M.1585842354.A.6AE.html, 4/02,any1206
